month,1,2,3,4,5,6,7,8,9,10,date
1,10,7,8,9,3,6,5,4,1,2,1/1/99
2,1,3,9,5,6,4,10,7,8,2,2/1/99
3,1,3,2,4,7,5,6,8,10,9,3/1/99
4,8,3,10,9,6,7,2,4,1,5,4/1/99
5,10,8,6,9,7,5,3,2,4,1,5/1/99
6,7,6,9,8,2,10,3,4,5,1,6/1/99
7,1,9,4,2,8,5,7,3,6,10,7/1/99
8,1,2,3,4,6,5,7,8,10,9,8/1/99
9,1,3,6,2,8,4,10,5,7,9,9/1/99
10,1,2,6,3,5,4,7,8,9,10,10/1/99
11,1,2,3,5,4,8,6,9,7,10,11/1/99
12,8,9,10,5,3,2,6,7,4,1,12/1/99
13,9,8,6,10,7,4,3,1,2,5,1/1/00
14,2,1,5,3,4,7,8,10,9,6,2/1/00
15,2,1,4,3,6,5,8,7,9,10,3/1/00
16,9,1,4,8,3,6,10,5,7,2,4/1/00
17,2,1,3,6,4,7,8,5,9,10,5/1/00
18,10,7,2,9,1,6,5,8,4,3,6/1/00
19,1,2,4,3,6,7,5,10,9,8,7/1/00
20,1,3,2,4,5,6,7,9,8,10,8/1/00
21,1,3,4,2,5,7,9,6,10,8,9/1/00
22,1,2,3,4,5,6,8,7,9,10,10/1/00
23,1,3,4,7,5,2,6,9,10,8,11/1/00
24,8,2,1,5,3,6,7,4,9,10,12/1/00
25,9,8,6,3,5,4,7,2,1,10,1/1/01
26,10,7,8,9,5,4,3,6,2,1,2/1/01
27,1,2,3,4,7,5,6,8,9,10,3/1/01
28,1,2,5,3,7,6,8,4,10,9,4/1/01
29,1,2,3,4,5,6,8,7,9,10,5/1/01
30,1,6,3,2,7,4,5,9,8,10,6/1/01
31,1,9,7,6,4,8,10,3,2,5,7/1/01
32,1,2,3,4,8,6,9,7,5,10,8/1/01
33,10,6,9,7,5,8,3,2,4,1,9/1/01
34,4,10,8,7,3,6,9,2,5,1,10/1/01
35,1,2,3,4,6,5,8,7,9,10,11/1/01
36,10,9,8,5,7,6,3,4,2,1,12/1/01
37,10,7,9,8,6,5,4,3,2,1,1/1/02
38,1,2,4,5,3,6,8,7,9,10,2/1/02
39,1,2,4,3,5,6,7,8,9,10,3/1/02
40,1,2,3,4,5,7,6,9,8,10,4/1/02
41,1,4,2,9,7,8,10,5,6,3,5/1/02
42,9,10,8,7,6,5,4,2,3,1,6/1/02
43,1,2,3,4,5,6,9,7,10,8,7/1/02
44,1,2,3,5,10,8,6,4,9,7,8/1/02
45,10,6,4,8,7,9,5,3,1,2,9/1/02
46,5,9,8,10,7,2,6,4,1,3,10/1/02
47,10,9,8,7,6,5,3,4,2,1,11/1/02
48,1,8,4,7,9,6,10,5,3,2,12/1/02
49,1,2,4,3,6,5,7,9,10,8,1/1/03
50,4,2,1,5,3,8,7,6,9,10,2/1/03
51,10,5,9,8,6,7,3,4,2,1,3/1/03
52,10,8,9,7,5,6,4,3,2,1,4/1/03
53,7,4,10,8,9,5,6,3,1,2,5/1/03
54,1,3,7,5,6,8,9,10,2,4,6/1/03
55,9,10,8,6,7,5,4,3,2,1,7/1/03
56,1,2,3,4,5,9,8,7,6,10,8/1/03
57,8,10,9,4,7,3,1,5,6,2,9/1/03
58,10,9,8,7,6,4,5,3,2,1,10/1/03
59,10,9,8,7,4,1,2,3,6,5,11/1/03
60,10,9,8,6,7,5,4,3,2,1,12/1/03
61,1,2,3,6,5,4,7,9,8,10,1/1/04
62,1,2,5,3,7,4,6,8,9,10,2/1/04
63,4,1,3,5,7,2,6,9,8,10,3/1/04
64,9,10,7,6,2,3,4,1,5,8,4/1/04
65,4,2,3,9,1,8,5,6,7,10,5/1/04
66,10,8,6,4,7,9,5,2,3,1,6/1/04
67,10,9,8,6,7,5,2,4,1,3,7/1/04
68,9,7,3,4,2,5,6,10,8,1,8/1/04
69,10,8,5,6,9,7,3,4,2,1,9/1/04
70,10,9,8,7,6,3,5,4,1,2,10/1/04
71,1,2,3,4,6,5,8,7,9,10,11/1/04
72,7,9,10,3,6,5,8,4,2,1,12/1/04
73,1,3,10,5,8,4,9,6,7,2,1/1/05
74,3,7,4,5,6,8,1,2,9,10,2/1/05
75,8,9,5,10,6,7,4,3,2,1,3/1/05
76,10,9,7,8,6,4,5,3,2,1,4/1/05
77,1,2,4,3,5,6,7,8,9,10,5/1/05
78,3,9,4,2,8,6,10,5,7,1,6/1/05
79,10,9,8,7,6,5,4,3,2,1,7/1/05
80,1,2,3,4,5,6,7,8,9,10,8/1/05
81,1,7,2,8,9,5,4,3,6,10,9/1/05
82,10,3,8,9,7,4,6,5,1,2,10/1/05
83,1,3,2,4,5,6,7,8,10,9,11/1/05
84,9,10,8,6,7,5,4,3,2,1,12/1/05
85,10,9,8,6,7,4,3,2,1,5,1/1/06
86,1,3,5,4,6,7,9,8,10,2,2/1/06
87,10,9,7,8,6,5,4,2,1,3,3/1/06
88,10,9,8,6,7,4,5,2,3,1,4/1/06
89,1,2,3,6,4,5,8,7,9,10,5/1/06
90,5,4,3,1,2,6,8,7,9,10,6/1/06
91,3,1,2,5,6,4,7,8,9,10,7/1/06
92,10,6,9,7,5,3,4,1,2,8,8/1/06
93,1,2,4,6,3,8,5,10,9,7,9/1/06
94,6,7,10,5,2,9,8,4,3,1,10/1/06
95,10,9,8,6,7,5,3,4,2,1,11/1/06
96,10,7,8,5,9,6,4,3,2,1,12/1/06
97,9,3,2,1,5,6,4,8,7,10,1/1/07
98,1,2,3,5,4,7,6,9,8,10,2/1/07
99,1,2,3,5,4,7,6,8,10,9,3/1/07
100,1,4,2,3,7,9,8,5,6,10,4/1/07
101,1,3,6,9,8,10,5,7,4,2,5/1/07
102,8,9,10,7,6,4,5,3,2,1,6/1/07
103,1,2,3,4,5,6,7,10,8,9,7/1/07
104,1,4,7,8,10,9,3,6,5,2,8/1/07
105,6,10,9,4,7,5,8,3,2,1,9/1/07
106,2,8,6,9,10,5,7,3,4,1,10/1/07
107,1,2,3,4,5,6,7,8,9,10,11/1/07
108,7,5,9,6,3,4,2,1,8,10,12/1/07
109,1,2,4,5,7,3,6,8,9,10,1/1/08
110,3,2,1,4,5,6,7,8,9,10,2/1/08
111,1,3,2,4,6,7,5,9,10,8,3/1/08
112,4,10,8,9,7,6,5,3,2,1,4/1/08
113,1,4,3,2,5,7,6,9,8,10,5/1/08
114,5,2,9,10,6,8,4,7,3,1,6/1/08
115,1,2,3,4,6,5,8,7,9,10,7/1/08
116,2,4,5,7,3,9,10,8,6,1,8/1/08
117,10,9,6,7,8,4,5,3,2,1,9/1/08
118,1,2,4,8,3,7,9,6,10,5,10/1/08
