month,1,2,3,4,5,6,7,8,9,10,date
1,-0.0196784,-0.00917611,-0.00938225,-0.014244,-0.00387098,-0.00699098,-0.00687371,-0.00400776,0.00174249,-0.00268013,1/1/99
2,-0.032503193,-0.038520463,-0.050105325,-0.040261756,-0.043290256,-0.039859807,-0.052165915,-0.045449482,-0.048376305,-0.036855422,2/1/99
3,0.175097655,0.133965855,0.136225807,0.11641059,0.07378459,0.080023274,0.075974253,0.058520133,0.038321639,0.041036167,3/1/99
4,-0.048160381,-0.032749916,-0.055813298,-0.052881639,-0.03451006,-0.046212333,-0.03090894,-0.033390845,-0.02864859,-0.034176869,4/1/99
5,0.046798548,0.071623964,0.079998738,0.056407333,0.078742857,0.084943298,0.108432821,0.114878012,0.107406298,0.164657729,5/1/99
6,0.3115942,0.313991435,0.301864718,0.309024435,0.365375894,0.300367435,0.353147635,0.347702318,0.321500294,0.376808814,6/1/99
7,-0.021055465,-0.054686547,-0.041260729,-0.028452326,-0.050810259,-0.0419555,-0.049117047,-0.033421906,-0.043975349,-0.077866895,7/1/99
8,0.08888642,0.074036483,0.050188103,0.049710782,0.043384264,0.049077909,0.013085851,-0.001627954,-0.020193046,-0.004737875,8/1/99
9,0.00233491,-0.020976839,-0.023328652,-0.019868443,-0.026965386,-0.021610079,-0.037277455,-0.021982213,-0.02645992,-0.029448876,9/1/99
10,-0.019400067,-0.02090009,-0.043744461,-0.022939112,-0.037253101,-0.036147322,-0.044012112,-0.045907843,-0.048064247,-0.058121556,10/1/99
11,0.002858578,-0.010925242,-0.011040367,-0.027948289,-0.014667378,-0.038203244,-0.032024256,-0.045560656,-0.034489322,-0.064444363,11/1/99
12,-0.066212066,-0.073573256,-0.074799912,-0.052101589,-0.050936176,-0.049600322,-0.055088725,-0.055966122,-0.051626736,-0.034101791,12/1/99
13,0.108233152,0.117379341,0.135550337,0.106964571,0.129802696,0.15320267,0.167727424,0.178046934,0.170305717,0.142463467,1/1/00
14,0.159991,0.164327326,0.125277076,0.139083634,0.130091348,0.119769152,0.117365043,0.095603293,0.112531783,0.124807785,2/1/00
15,0.197190495,0.21697014,0.130114409,0.148953204,0.088104183,0.117178054,0.051876699,0.052660204,0.043687946,0.001819774,3/1/00
16,0.00803533,0.031973935,0.018654602,0.009255548,0.02256428,0.014602591,-0.008151333,0.016572602,0.014277667,0.031848053,4/1/00
17,0.052259436,0.064186624,0.050869223,0.034723628,0.046482152,0.033737819,0.027303043,0.039419404,0.024773489,0.02090834,5/1/00
18,0.002996568,0.018547084,0.036009553,0.011841117,0.049463242,0.021258832,0.022196096,0.015684532,0.028080362,0.035718126,6/1/00
19,0.119671167,0.062703126,0.055916495,0.06147226,0.048844632,0.044550284,0.052755344,0.029566789,0.031256095,0.04080951,7/1/00
20,0.064430184,0.03136732,0.032521464,0.011454867,-0.003600918,-0.005312814,-0.005643531,-0.017715639,-0.006455814,-0.021154398,8/1/00
21,0.016003303,-0.02786395,-0.032543919,-0.02265285,-0.032802818,-0.05306685,-0.05841427,-0.046242485,-0.05890531,-0.05601033,9/1/00
22,0.073178752,0.05346948,0.05328233,0.0455492,0.03741335,0.03572631,0.0243341,0.02956157,0.01488371,0.00655305,10/1/00
23,0.076002049,0.065286218,0.064227696,0.058070168,0.063263307,0.068547618,0.061663653,0.051530118,0.050649238,0.054250029,11/1/00
24,0.002740382,0.024241922,0.024388392,0.008443696,0.013097667,0.006930471,0.006533373,0.011161039,-0.002829029,-0.023824427,12/1/00
25,-0.021545686,-0.021126427,-0.012472311,-0.004353515,-0.010899835,-0.007826279,-0.013847971,-0.004290592,0.000365282,-0.022834606,1/1/01
26,-0.112924349,-0.064796377,-0.066662887,-0.072773726,-0.062640255,-0.062245377,-0.052449547,-0.063110604,-0.051874906,-0.048523589,2/1/01
27,0.114601389,0.101978355,0.091653551,0.088346194,0.078957598,0.081822262,0.07987388,0.075778963,0.062846617,0.057772907,3/1/01
28,0.043262722,0.01966237,-0.001316468,0.013151963,-0.004455019,-0.001991,-0.009951861,0.001797,-0.015704667,-0.013825798,4/1/01
29,0.0966842,0.088874945,0.083845194,0.065004596,0.048847798,0.0478762,0.030221827,0.036305716,0.026648145,0.011878555,5/1/01
30,0.018879297,0.011278046,0.016884836,0.018691436,0.008151211,0.013084927,0.012489991,-0.001642697,0.005496972,-0.005746582,6/1/01
31,-0.117003632,-0.141494367,-0.137101101,-0.133307,-0.1322667,-0.137628209,-0.142496236,-0.130314273,-0.126143291,-0.132481063,7/1/01
32,0.002185313,-0.011434364,-0.019414432,-0.028304636,-0.039809873,-0.036309955,-0.041297218,-0.037908427,-0.032979573,-0.042506721,8/1/01
33,-0.086020593,-0.061978768,-0.069975072,-0.063869964,-0.052068396,-0.064174486,-0.047187891,-0.042831369,-0.04827682,-0.03926755,9/1/01
34,-0.051456167,-0.069008036,-0.062744116,-0.060256071,-0.050142821,-0.059325848,-0.064117339,-0.045661714,-0.057791571,-0.03227515,10/1/01
35,0.085242789,0.066732982,0.063317473,0.056686134,0.046679867,0.054261268,0.037270221,0.041834661,0.035456681,0.026950009,11/1/01
